record_id,facility_id,facility_name,city,region,reporting_month,supplier_id,supplier_type,energy_kwh,water_m3,production_units,waste_tonnes,recycled_waste_tonnes,scope1_tco2e,scope2_tco2e,supplier_spend_inr,energy_unit,energy_kwh_standardized,energy_intensity,energy_outlier_flag,waste_logic_check
ESG100000,F003,Pune Plant,Pune,West,2025-04-01,S016,Chemicals,78319.5267440762,11577.376800286384,12159.877641690213,215.5724938538359,108.24702638184324,0.0,32.45651326243886,513404.1241989642,kWh,78319.5267440762,6.4408153644208745,False,True
ESG100001,F003,Pune Plant,Pune,West,2026-02-01,S055,Logistics,45653.1246620325,6567.53961379528,11161.931864431035,176.30887375237538,98.39214897000876,41.52101195175965,16.22590589372571,393155.7379268778,kWh,45653.1246620325,4.090073762904089,False,True
ESG100002,F007,Hyderabad Plant,Hyderabad,South,2025-10-01,S021,Maintenance,66288.18877635413,12667.898880715631,13610.233734437126,151.81844459073332,100.20255541983302,56.81102748154725,21.384615889238248,532206.8133911334,kWh,66288.18877635413,4.870466596663161,False,True
ESG100003,F008,Jaipur Plant,Jaipur,North,2026-02-01,S023,Maintenance,64700.94945105274,9813.795212529056,11154.989343918323,219.945791757444,149.74877884714107,63.36079636048052,26.158078436397076,567398.6507106695,kWh,64700.94945105274,5.800180301053139,False,True
ESG100004,F001,Delhi Plant,Delhi,North,2025-09-01,S025,Packaging,73894.06361458634,10808.464139814594,10127.70923863503,165.4467187711089,84.42660932480612,34.8449885857305,31.34952655220338,531554.8666769877,kWh,73894.06361458634,7.296226804448176,False,True
ESG100005,F008,Jaipur Plant,Jaipur,North,2025-09-01,S043,Raw Material,89831.65297153853,5430.455334239433,13730.555531663069,203.28239428857032,116.6229139307306,57.46094009923073,39.20690598979729,468031.10746996873,kWh,89831.65297153853,6.542463104597921,False,True
ESG100006,F004,Chennai Plant,Chennai,South,2026-03-01,S026,Logistics,76137.26164498016,13585.754269861904,7915.785908676598,238.5496469371477,112.12652021433075,42.7841856076554,36.10700416405105,376904.0675970322,kWh,76137.26164498016,9.61840839600337,False,True
ESG100007,F005,Ahmedabad Plant,Ahmedabad,West,2025-09-01,S052,Chemicals,95355.36213777732,7737.08909585241,9235.071751943098,156.97146696873065,123.94901749853256,51.2162540373256,51.876536367217255,551598.1572743773,kWh,95355.36213777732,10.325351518542794,False,True
ESG100008,F006,Kolkata Plant,Kolkata,East,2026-01-01,S027,Logistics,76283.39785438444,10575.29810372725,13001.873273593948,138.98481296933895,70.80652675993248,69.08035413017089,20.04634873671551,710334.9606679006,kWh,76283.39785438444,5.867108242726193,False,True
ESG100009,F004,Chennai Plant,Chennai,South,2026-02-01,S036,Logistics,53666.94950713003,8039.299612795609,11705.099652314777,250.17412074040715,178.5171204055821,7.2004792963305775,25.12812455527471,574330.7236007979,kWh,53666.94950713003,4.584920342520704,False,True
ESG100010,F005,Ahmedabad Plant,Ahmedabad,West,2026-01-01,S032,Logistics,69763.95771444392,7355.660551798608,15915.478185647446,169.0598830011049,102.2595918034282,40.41399671079,31.559891420834237,486269.3251528756,kWh,69763.95771444392,4.383403181524069,False,True
ESG100011,F007,Hyderabad Plant,Hyderabad,South,2025-05-01,S002,Raw Material,76493.1607331243,10136.209767525834,9725.8871450242,200.02891505980023,160.9880213302761,20.167229203243817,24.51911494901461,359048.0705920276,kWh,76493.1607331243,7.8649031797843225,False,True
ESG100012,F008,Jaipur Plant,Jaipur,North,2025-07-01,S034,Logistics,68889.98481568434,8351.442761739054,14055.396933684908,213.44368961299256,98.83504356229317,21.82161533626114,35.60176253154715,472695.9880584309,kWh,68889.98481568434,4.901319054930697,False,True
ESG100013,F004,Chennai Plant,Chennai,South,2025-07-01,S032,Packaging,53030.28980356279,8449.69244084147,10295.591826605678,184.0444903704144,154.0487837874644,20.15726501906433,18.452191700841983,10000.0,kWh,53030.28980356279,5.15077624450135,False,True
ESG100014,F005,Ahmedabad Plant,Ahmedabad,West,2025-10-01,S002,Packaging,75984.47869029123,10288.488866814494,7004.840298004388,156.94830379672075,91.4193894747523,40.151850153944416,29.24256095231902,658598.4402865476,kWh,75984.47869029123,10.847424845922394,False,True
