record_id,facility_id,facility_name,city,region,reporting_month,supplier_id,supplier_type,energy_kwh,water_m3,production_units,waste_tonnes,recycled_waste_tonnes,scope1_tco2e,scope2_tco2e,supplier_spend_inr,energy_unit
ESG100000,F003,Pune Plant,Pune,West,2025-04-01,S016,Chemicals,78319.5267440762,11577.376800286384,12159.877641690211,215.5724938538359,108.24702638184324,0.0,32.45651326243886,513404.1241989642,kWh
ESG100001,F003,Pune Plant,Pune,West,2026-02-01,S055,Logistics,45653.1246620325,6567.53961379528,11161.931864431035,176.30887375237538,98.39214897000876,41.52101195175965,16.22590589372571,393155.7379268778,kWh
ESG100002,F007,Hyderabad Plant,Hyderabad,South,2025-10-01,S021,Maintenance,66288.18877635413,12667.898880715631,13610.233734437126,151.81844459073332,100.20255541983302,56.81102748154725,21.384615889238248,532206.8133911334,kWh
ESG100003,F008,Jaipur Plant,Jaipur,North,2026-02-01,S023,Maintenance,64700.949451052744,9813.795212529056,11154.989343918323,219.94579175744397,149.74877884714107,63.36079636048052,26.158078436397073,567398.6507106695,kWh
ESG100004,F001,Delhi Plant,Delhi,North,2025-09-01,S025,Packaging,73894.06361458634,10808.464139814594,10127.70923863503,165.4467187711089,84.42660932480612,34.8449885857305,31.34952655220338,531554.8666769877,kWh
ESG100005,F008,Jaipur Plant,Jaipur,North,2025-09-01,S043,Raw Material,89831.65297153853,5430.455334239433,13730.555531663067,203.28239428857032,116.6229139307306,57.46094009923073,39.20690598979729,468031.10746996873,kWh
ESG100006,F004,Chennai Plant,Chennai,South,2026-03-01,S026,Logistics,76137.26164498016,13585.754269861904,7915.785908676598,238.54964693714774,112.12652021433077,42.784185607655395,36.10700416405105,376904.06759703223,kWh
ESG100007,F005,Ahmedabad Plant,Ahmedabad,West,2025-09-01,S052,Chemicals,95355.36213777732,7737.08909585241,9235.071751943098,156.97146696873065,123.94901749853256,51.2162540373256,51.876536367217255,551598.1572743773,kWh
ESG100008,F006,Kolkata Plant,Kolkata,East,2026-01-01,S027,Logistics,76283.39785438444,10575.29810372725,13001.873273593947,138.98481296933895,70.80652675993248,69.08035413017089,20.04634873671551,710334.9606679006,kWh
ESG100009,F004,Chennai Plant,Chennai,South,2026-02-01,S036,Logistics,53666.94950713003,8039.299612795609,11705.099652314775,250.17412074040715,178.5171204055821,7.2004792963305775,25.12812455527471,574330.7236007979,kWh
ESG100010,F005,Ahmedabad Plant,Ahmedabad,West,2026-01-01,S032,Logistics,69763.95771444392,7355.660551798608,15915.478185647446,169.0598830011049,102.25959180342821,40.41399671079,31.559891420834234,486269.3251528756,kWh
ESG100011,F007,Hyderabad Plant,Hyderabad,South,2025-05-01,S002,Raw Material,76493.1607331243,10136.209767525834,9725.887145024199,200.02891505980025,160.9880213302761,20.167229203243817,24.51911494901461,359048.07059202756,kWh
ESG100012,F008,Jaipur Plant,Jaipur,North,2025-07-01,S034,Logistics,68889.98481568434,8351.442761739054,14055.396933684908,213.44368961299259,98.83504356229315,21.82161533626114,35.60176253154715,472695.98805843084,kWh
ESG100013,F004,Chennai Plant,Chennai,South,2025-07-01,S032,Packaging,53030.28980356279,8449.69244084147,10295.591826605678,184.04449037041442,154.0487837874644,20.15726501906433,18.452191700841986,10000.0,kWh
ESG100014,F005,Ahmedabad Plant,Ahmedabad,West,2025-10-01,S002,Packaging,75984.47869029123,10288.488866814494,7004.840298004388,156.94830379672075,91.4193894747523,40.151850153944416,29.24256095231902,658598.4402865476,kWh
ESG100015,F007,Hyderabad Plant,Hyderabad,South,2025-11-01,S002,Maintenance,54238.700894570204,10207.507421466313,10363.339073996018,197.40504095162643,104.08381702864963,35.32766492786556,16.948116791780773,352657.4155489722,kWh
ESG100016,F004,Chennai Plant,Chennai,South,2025-07-01,S057,Maintenance,53467.41221721117,11814.608096194974,8416.400407691395,86.07783047235745,53.05213213185844,31.04402009299818,18.729421459311787,520173.8432921818,kWh
